"company_name","city","state","zip","agency","certification_type","ethnicity","commodity_code"
"Chicago Advisors LLC","wilmette","IL",60091,"Chicago","WBE","Asian American","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541611 - Administrative Management and General Management Consulting Services; 611420 - Computer Training"
"Chicago Advisors LLC","wilmette","IL",60091,"Chicago","MBE","Asian American","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541611 - Administrative Management and General Management Consulting Services; 611420 - Computer Training"
"Chicago Advisors LLC","wilmette","IL",60091,"Chicago","WBE","Asian American","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541611 - Administrative Management and General Management Consulting Services; 611420 - Computer Training"
"Chicago Advisors LLC","wilmette","IL",60091,"Chicago","MBE","Asian American","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541611 - Administrative Management and General Management Consulting Services; 611420 - Computer Training"
"Chicago Area Plumbing Incorporated","Elk Grove Village","IL",60007,"Cook County","WBE","Caucasian","238220 - Plumbing, Heating, and Air-Conditioning Contractors"
"Chicago Compass Counseling, LLC","Chicago","IL",60601,"Chicago","WBE","Asian American","611430 - Professional development training; 621330 - Social workers', mental health, offices (e.g., centers, clinics)"
"Chicago Compass Counseling, LLC","Chicago","IL",60601,"Chicago","MBE","Asian American","611430 - Professional development training; 621330 - Social workers', mental health, offices (e.g., centers, clinics)"
"Chicago Compass Counseling, LLC","Chicago","IL",60601,"Chicago","WBE","Asian American","611430 - Professional development training; 621330 - Social workers', mental health, offices (e.g., centers, clinics)"
"Chicago Compass Counseling, LLC","Chicago","IL",60601,"Chicago","MBE","Asian American","611430 - Professional development training; 621330 - Social workers', mental health, offices (e.g., centers, clinics)"
"Chicago Coring, Inc.","Chicago","IL",60646,"Chicago","MBE","Asian American","238990 - Concrete sawing and drilling (except demolition)"
"Chicago Coring, Inc.","Chicago","IL",60646,"Chicago","MBE","Asian American","238990 - Concrete sawing and drilling (except demolition)"
